alcohol	citric acid	volatile acidity:pH:residual sugar	quality
10.0		0.27:3.69:4.8	low
9.1	0.46	0.23:2.95:1.0	medium
10.7	0.31	0.23:3.33:2.1	high
9.5	0.29	0.24:3.13:nan	low
12.7	0.36	0.18:3.26:nan	high
12.0	0.34	0.32:3.31:1.3	high
9.3	0.3	0.18:2.94:8.8	low
9.0	0.28	0.54:3.27:5.4	low
10.6	0.31	0.22:3.39:1.4	medium
9.2		0.2:3.21:16.0	medium
10.0	0.2	0.34:3.17:6.1	low
	0.3	0.22:3.33:8.2	medium
	0.61	0.43:3.11:11.8	low
8.7	0.62	0.44:3.12:11.8	medium
8.7	0.63	0.39:3.09:11.0	medium
9.7	0.31	0.25:3.22:13.3	medium
8.7	0.61	nan:3.11:11.8	low
8.7		0.44:nan:11.8	medium
	0.63	0.39:3.09:11.0	medium
9.0	0.43	0.27:3.12:nan	low
12.6	0.33	0.24:3.26:1.7	high
	0.33	0.21:3.25:1.8	high
11.5	0.32	nan:3.21:1.7	high
9.2	0.29	0.26:3.04:12.4	medium
8.8	0.66	nan:3.14:15.9	medium
		0.265:2.95:1.2	high
10.1	0.46	0.36:nan:nan	low
8.8	0.66	0.34:3.14:15.9	medium
		0.25:3.0:13.5	low
9.4	0.32	0.12:3.4:9.6	low
9.4	0.24	0.21:nan:12.1	low
9.0	0.4	nan:2.99:18.9	low
9.1		0.25:3.0:nan	low
9.2	0.32	0.13:3.2:14.4	medium
9.4	0.32	nan:3.4:nan	low
9.1	0.35	0.23:3.16:nan	medium
9.1	0.35	0.23:3.16:16.5	medium
	0.28	0.33:nan:nan	low
8.8	0.54	0.17:2.89:8.5	medium
8.9	0.46	nan:nan:18.75	low
9.2	0.5	0.31:3.01:13.3	low
9.1		0.41:3.22:9.2	low
9.1	0.34	0.41:3.22:9.2	low
9.7	0.0	0.485:nan:nan	low
	0.24	0.31:3.31:3.3	medium
11.8	0.4	0.14:3.19:1.7	medium
9.2	0.5	0.31:3.01:13.3	low
9.2	0.48	0.32:3.04:13.3	low
	0.04	0.36:3.22:5.7	low
8.8	0.32	nan:3.01:12.2	low
	0.31	0.16:3.29:6.85	low
9.1	0.28	nan:3.29:5.0	medium
	0.47	0.13:nan:1.6	medium
11.0	0.36	0.19:3.27:1.1	medium
10.5	0.23	nan:3.14:7.0	low
9.7	0.32	nan:3.45:7.6	high
	0.56	0.3:3.3:2.8	high
10.9	0.56	nan:nan:2.7	medium
	0.25	0.26:nan:10.4	low
9.7	0.32	0.24:3.45:nan	high
9.0		nan:3.23:13.1	low
9.2	0.27	0.24:3.24:15.8	low
8.9	0.22	0.27:nan:8.1	low
9.6	0.31	0.27:3.26:15.7	low
10.7	0.4	0.23:3.12:1.2	medium
8.7	0.67	0.37:3.16:10.5	low
	0.36	0.19:nan:nan	high
11.8	0.39	0.28:nan:1.9	medium
10.2		0.31:3.3:2.2	low
8.7	0.67	0.37:nan:10.5	low
10.8	0.4	0.21:3.21:1.2	medium
	0.41	0.21:3.18:4.3	medium
11.2	0.4	0.2:3.12:2.0	medium
10.9	0.37	0.255:3.0:1.1	medium
10.1	0.27	0.16:3.28:nan	medium
9.0	0.14	0.595:3.38:5.2	low
		0.34:3.38:nan	high
9.4	0.3	0.25:2.99:4.1	medium
11.5	0.38	0.22:3.12:8.0	high
9.9	0.46	0.18:3.14:10.2	medium
9.4	0.3	0.25:nan:4.1	medium
	0.41	0.18:3.14:nan	low
	0.4	0.23:3.06:7.5	medium
	0.42	0.24:nan:14.0	medium
8.9		0.24:nan:14.0	medium
12.4		0.32:3.29:1.5	high
12.1	0.04	0.44:3.36:1.4	high
		0.44:3.36:1.4	high
12.4	0.24	0.32:3.29:1.5	high
	0.56	0.22:2.98:14.5	low
10.6		0.36:nan:4.8	low
8.9	0.42	0.24:2.89:14.0	medium
9.5	0.35	0.24:nan:nan	low
9.8	0.36	nan:3.16:13.0	low
9.6	0.46	nan:3.14:8.7	medium
12.6		0.46:3.08:2.4	high
9.3	0.31	nan:3.08:8.95	low
10.0		0.42:nan:9.85	low
12.7	0.46	0.3:3.12:1.5	medium
11.0	0.45	0.19:3.13:1.5	medium
11.4		nan:3.03:nan	low
11.5	0.43	0.22:3.35:4.55	high
	0.31	0.27:nan:17.7	low
11.4	0.4	0.23:3.11:7.5	medium
12.6	0.47	0.32:3.03:5.1	low
	0.3	0.23:3.28:nan	low
8.7	0.07	0.67:3.11:nan	low
9.2	0.32	nan:3.19:5.5	medium
	0.31	0.33:3.19:nan	medium
9.2	0.15	0.34:3.09:nan	low
8.7	0.4	nan:2.93:22.0	low
9.6	0.4	0.27:3.18:nan	medium
9.3	0.56	0.26:3.02:11.9	low
9.3		nan:3.02:11.9	low
9.9	0.41	nan:3.12:9.4	medium
11.0	0.23	0.3:3.15:4.2	low
	0.35	0.53:3.26:nan	high
8.9	0.28	0.28:3.09:8.5	low
8.9	0.28	0.28:3.09:8.5	medium
8.7	0.4	0.28:2.93:22.0	low
11.4	0.36	0.28:3.02:8.0	medium
9.6	0.34	0.15:3.36:5.1	low
9.1	0.44	0.29:3.02:3.6	low
9.1	0.45	0.3:nan:3.5	medium
	0.44	0.29:3.01:3.6	low
8.9	0.24	nan:3.13:7.8	low
	0.24	0.32:3.1:nan	low
8.9	0.24	0.26:3.13:7.8	low
	0.26	0.27:3.15:nan	low
	0.24	0.32:3.1:13.1	low
9.6		0.54:3.2:13.2	low
12.0	0.34	nan:3.33:13.9	medium
10.2	0.35	nan:3.28:2.3	low
8.8	0.5	nan:3.15:11.6	low
9.2	0.32	0.16:nan:nan	low
9.9	0.88	0.44:2.99:6.2	low
10.2	0.29	nan:3.32:2.2	low
9.5	0.31	0.4:nan:0.9	medium
10.5		0.245:3.31:9.7	low
11.2	0.38	nan:nan:1.4	high
9.2	0.32	0.16:3.21:8.3	low
9.7	0.29	nan:3.44:nan	medium
	0.25	0.25:3.3:1.4	high
9.4		0.26:nan:9.2	low
11.0	0.36	0.27:3.03:nan	low
9.4	0.24	0.26:nan:9.2	low
9.4	0.24	0.28:3.31:17.5	low
11.0	0.36	0.23:nan:7.0	low
11.0	0.36	0.27:3.03:nan	low
9.1	0.21	0.685:3.0:9.5	medium
11.1		0.25:3.3:1.4	high
9.1		0.19:3.42:0.8	medium
10.4	0.22	0.495:nan:1.8	medium
8.7	0.41	nan:3.32:nan	low
9.7	0.32	0.17:3.5:2.4	medium
		0.25:nan:10.3	medium
9.7	0.32	0.17:nan:nan	medium
8.7	0.41	0.24:nan:17.8	low
8.9	0.08	0.64:3.37:9.7	low
9.6	0.4	0.28:3.34:7.8	medium
9.5	0.39	nan:3.31:7.8	medium
9.0		0.23:3.09:14.3	medium
9.0	0.38	0.23:3.09:nan	medium
9.0	0.38	nan:3.09:14.3	medium
9.0	0.38	0.23:nan:14.3	medium
9.6	0.32	0.52:3.27:nan	medium
11.1	0.59	nan:3.34:1.4	high
9.6	0.21	nan:3.48:15.55	medium
8.7	0.23	nan:3.2:13.7	low
10.4	0.26	nan:3.13:7.8	low
	0.37	0.21:3.15:2.4	high
9.7	0.34	0.24:3.3:2.7	medium
8.7	0.56	0.4:3.14:nan	low
11.3	0.36	nan:3.37:2.0	medium
12.6	0.27	0.21:3.16:nan	high
	0.27	0.2:nan:1.4	high
10.9		nan:3.25:1.4	high
	0.14	0.41:3.38:10.4	low
10.0	0.28	0.21:3.72:4.6	low
9.8	0.21	0.26:3.02:16.2	low
8.7	0.56	0.4:3.14:11.2	low
11.7		0.24:3.53:nan	low
9.3	0.39	0.24:3.21:1.5	medium
9.6	0.39	0.26:3.32:nan	high
	0.3	0.35:3.27:5.7	high
11.0	0.3	0.35:3.27:nan	high
11.8	0.39	0.23:3.32:1.8	medium
11.4	0.38	0.36:3.28:0.9	low
	0.35	0.115:3.32:nan	medium
8.9	0.4	0.29:2.93:19.45	low
10.2	0.4	0.28:3.17:nan	low
	0.4	0.29:nan:13.6	medium
10.6	0.35	0.24:nan:1.2	medium
8.9		0.29:2.93:nan	low
9.2	0.26	0.32:3.25:8.3	medium
9.7		0.58:3.34:6.9	low
9.7	0.07	0.585:3.34:7.1	medium
9.7	0.07	nan:nan:nan	medium
9.2	0.26	0.32:nan:8.3	medium
	0.07	0.6:3.33:7.0	low
9.3	0.26	0.25:3.29:13.1	low
	0.3	nan:3.24:5.1	low
9.5	0.54	0.29:3.05:10.7	low
9.8	0.41	0.19:3.14:8.9	medium
9.8	0.41	nan:3.14:nan	medium
10.6	0.4	0.26:2.89:nan	low
10.6	0.34	0.32:3.05:1.2	low
	0.49	nan:3.26:4.7	high
12.6	0.36	0.24:3.19:2.8	high
	0.58	0.31:3.3:5.0	high
10.5		0.44:3.08:5.1	low
9.3		nan:nan:nan	low
8.8		nan:3.12:nan	low
8.8	0.25	nan:3.08:nan	low
	0.33	nan:3.22:nan	medium
9.0		nan:2.98:14.2	high
9.0	0.39	nan:2.98:14.2	high
9.0	0.39	0.23:2.98:14.2	high
9.0	0.39	0.23:nan:14.2	high
10.5	0.31	0.15:3.52:5.8	medium
9.1		0.28:nan:nan	low
9.8	0.22	0.28:nan:7.3	high
	0.38	0.59:nan:1.6	low
9.4	0.27	0.33:3.37:1.2	medium
9.4	0.7	0.39:3.09:10.6	low
11.2	0.46	0.19:3.19:3.8	high
	0.44	0.17:3.17:11.3	medium
10.3	0.5	0.17:3.15:2.1	medium
10.8		0.41:3.27:1.6	medium
10.5		nan:3.13:nan	medium
	0.0	0.41:3.27:1.6	medium
11.1	0.21	nan:3.32:1.3	medium
9.9	0.24	0.41:3.2:6.8	medium
9.9	0.24	0.41:3.2:6.8	medium
9.9	0.24	0.43:3.2:6.7	low
9.9	0.24	0.4:3.2:6.7	medium
	0.27	0.33:3.2:4.9	high
10.4	0.26	nan:3.21:4.8	medium
	0.27	0.36:3.4:2.1	high
12.5	0.14	nan:3.53:8.3	high
10.0	0.41	nan:3.36:3.7	medium
10.0	0.21	0.36:3.29:6.7	medium
		0.34:3.29:6.6	low
9.1	0.6	nan:3.09:1.1	medium
10.6	0.34	0.25:nan:nan	medium
10.5	0.35	0.24:3.19:7.7	low
	0.47	0.3:3.52:7.85	high
10.1	0.25	nan:3.54:3.3	medium
10.3	0.24	0.1:3.61:1.1	high
10.5	0.35	0.24:3.19:nan	low
10.6	0.34	0.25:3.21:4.7	medium
10.4	0.44	0.28:nan:9.3	medium
	0.51	0.41:3.02:2.0	low
10.5	0.31	0.27:3.18:nan	low
10.0	0.41	0.26:nan:15.15	medium
10.0	0.23	0.34:3.19:6.3	medium
9.6	0.35	0.28:nan:15.4	medium
		nan:3.17:nan	low
12.5		0.32:3.36:4.8	high
10.6	0.34	0.24:nan:4.6	low
11.8		0.23:3.28:1.8	medium
9.8	0.34	0.28:3.11:9.9	low
10.8	0.26	0.26:3.25:5.7	low
11.8	0.3	0.23:3.28:nan	medium
	0.33	0.23:3.32:nan	medium
	0.27	0.27:3.28:12.3	medium
10.4	0.4	0.26:nan:nan	low
10.2		0.18:3.43:1.5	high
9.0	0.43	0.2:3.19:7.8	high
10.0	0.36	0.24:nan:1.5	medium
	0.42	0.26:3.18:9.7	medium
10.0		0.31:nan:nan	low
10.0	0.47	0.29:3.29:3.0	medium
9.6	0.33	0.145:3.28:nan	medium
11.2	0.1	0.34:3.36:1.3	high
	0.41	nan:3.2:15.6	medium
10.0	0.46	0.18:3.15:13.6	medium
	0.45	0.17:nan:11.2	low
11.4	0.36	0.12:3.27:2.1	high
11.9	0.4	0.33:3.03:6.85	high
9.6	0.3	0.335:3.14:nan	medium
	0.4	0.33:3.03:6.85	high
	0.42	0.4:3.25:4.4	medium
	0.37	0.22:nan:14.3	medium
9.0	0.37	0.22:2.89:14.3	medium
9.5		0.36:3.15:nan	medium
10.4	0.39	0.2:nan:1.4	medium
10.6	0.34	0.24:3.2:4.7	medium
10.2	0.32	0.24:3.28:14.9	medium
8.9	0.14	0.365:3.15:1.2	low
9.7	0.3	0.15:3.4:5.3	medium
		0.22:2.89:14.3	medium
11.4	0.4	0.16:3.49:2.3	high
		nan:3.4:3.5	high
10.8	0.27	nan:3.49:1.5	medium
	0.21	0.33:3.12:1.0	medium
		0.29:3.17:2.3	medium
11.6	0.35	0.39:3.17:12.5	low
9.4	0.21	0.33:3.12:1.0	medium
	0.48	0.29:3.17:nan	medium
	0.19	0.905:3.34:0.8	low
9.2	0.27	nan:3.1:2.4	medium
12.5	0.22	0.33:3.51:nan	high
	0.22	0.33:nan:1.6	high
10.4	0.28	0.31:3.32:1.5	high
10.0		0.2:3.15:nan	high
10.0	0.5	nan:3.22:2.6	medium
10.4	0.28	0.31:3.32:nan	high
10.0		0.2:3.15:1.4	high
9.0		0.28:nan:12.5	medium
9.2	0.28	0.35:3.12:9.6	medium
9.2	0.27	0.27:3.1:2.4	medium
	0.39	0.36:3.38:3.2	high
12.5		0.33:3.51:1.6	high
10.8	0.56	0.17:3.48:1.5	high
10.1	0.35	0.39:nan:5.9	low
9.7	0.32	0.21:3.39:5.4	medium
9.3	0.38	0.3:3.18:14.9	high
	0.38	0.3:3.18:14.9	high
10.6	0.32	nan:nan:nan	low
10.2	0.15	0.55:nan:9.8	medium
12.2	0.43	0.24:nan:2.0	medium
	0.51	0.37:3.19:11.8	low
10.0	0.12	0.27:nan:1.3	low
11.4		0.28:3.09:nan	low
11.4	0.4	0.2:3.46:1.5	medium
		0.26:3.35:18.2	low
11.7		0.19:3.3:nan	medium
	0.4	0.2:3.46:1.5	medium
8.8		0.37:nan:nan	low
9.2	0.07	nan:3.23:1.4	low
8.7	0.31	0.27:3.07:18.2	low
	0.31	0.22:3.24:6.3	medium
10.0	0.12	0.27:nan:1.3	low
12.8	0.34	0.28:3.39:4.0	high
9.4	0.24	0.49:3.17:1.2	low
10.3	0.39	0.14:3.26:nan	medium
11.4	0.42	0.28:3.09:1.8	low
9.0	0.39	0.25:2.97:18.95	medium
9.6	0.36	nan:3.3:12.7	medium
10.5		0.19:nan:1.2	low
10.5	0.39	0.19:nan:1.2	low
9.0	0.39	0.25:2.97:nan	medium
	0.36	0.28:3.3:12.7	medium
9.8	0.27	0.21:3.19:1.2	medium
9.0	0.22	0.26:3.1:7.7	low
9.8		0.21:3.19:1.2	medium
10.5	0.28	0.31:3.31:nan	medium
12.7	0.31	0.22:3.16:2.7	high
10.4		nan:nan:8.7	medium
10.4	0.28	0.21:3.25:8.6	medium
10.4	0.28	0.21:3.25:8.6	medium
		0.23:3.34:8.3	high
10.4	0.28	0.21:nan:8.7	medium
10.4	0.28	0.21:3.25:8.6	medium
9.4		0.29:3.09:13.3	low
9.1	0.27	0.21:3.06:1.2	low
9.3	0.47	0.31:3.1:13.6	low
9.4	0.5	0.29:3.09:13.3	low
9.8		nan:3.21:1.1	low
9.9	0.34	nan:nan:2.3	high
9.2	0.09	nan:3.07:1.5	low
12.1	0.36	0.23:3.35:7.1	high
12.2	0.37	0.2:3.38:6.2	high
9.8	0.32	0.28:3.27:2.5	low
	0.32	0.16:3.35:1.4	high
	0.34	0.155:3.18:2.3	high
9.2	0.04	0.35:3.26:1.2	low
11.6	0.37	0.22:3.29:nan	high
10.4	0.2	nan:3.3:6.6	medium
12.9	0.28	0.25:3.43:2.2	high
9.3		0.52:3.26:12.2	medium
11.0	0.36	0.24:3.2:20.8	medium
11.5	0.32	0.32:3.24:11.0	low
	0.27	0.28:3.53:2.6	low
9.8	0.24	0.41:3.44:14.0	medium
9.8	0.24	0.41:nan:14.0	medium
10.5	0.29	0.28:3.48:1.6	high
9.1	0.2	0.6:3.03:9.9	low
10.1	0.25	0.2:3.24:1.2	low
10.6	0.14	0.46:nan:2.7	high
10.5	0.27	nan:3.41:1.6	high
10.5	0.29	0.28:nan:1.6	high
9.8	0.24	0.41:3.44:14.0	medium
12.9	0.31	0.23:3.3:1.5	high
9.5	0.27	0.21:nan:8.6	low
9.8	0.32	0.37:nan:1.0	medium
8.5	0.35	0.43:3.37:9.1	low
9.5	0.27	nan:2.95:8.6	low
9.3	0.29	0.25:3.22:15.2	low
9.5	0.19	nan:nan:12.4	low
	0.21	0.32:3.17:2.2	medium
8.7	0.62	nan:3.16:11.0	low
8.9	0.58	0.21:2.95:10.0	low
9.4		0.14:nan:9.0	medium
	0.21	0.32:3.17:2.2	medium
8.7	0.62	0.39:3.16:11.0	low
9.6		nan:nan:18.15	low
9.3	0.7	0.37:3.0:12.15	medium
10.0	0.34	0.38:3.14:3.4	low
12.5		0.24:nan:nan	medium
	0.31	0.17:nan:4.8	high
	0.22	0.16:3.24:nan	medium
9.5	0.51	0.24:3.03:11.0	low
	0.36	0.28:2.99:1.1	high
10.5	0.28	0.22:3.11:nan	medium
9.2	0.13	nan:nan:1.7	medium
10.4		nan:nan:1.7	medium
9.2	0.34	0.47:3.22:8.9	low
10.6	0.41	0.36:3.33:1.3	medium
9.5	0.24	0.25:3.34:nan	low
		0.47:3.22:nan	low
9.6	0.3	nan:3.29:6.6	low
9.7	0.38	0.18:3.47:1.5	medium
9.7	0.37	0.16:nan:nan	medium
10.7	0.28	nan:3.1:nan	medium
10.5	0.29	0.29:3.34:1.6	medium
8.9	0.31	0.26:3.13:7.6	medium
12.1		0.28:3.09:nan	medium
12.7	0.39	0.23:3.25:1.6	high
	0.26	0.19:3.18:8.9	medium
11.4	0.28	0.19:3.2:nan	medium
10.7	0.38	0.2:3.37:4.7	medium
12.5		0.44:3.33:nan	medium
8.6	0.62	0.4:3.08:nan	low
12.5	0.32	nan:3.29:1.6	medium
10.0	0.34	0.335:nan:1.0	low
8.6	0.62	0.4:3.08:10.8	low
9.5	0.54	0.28:nan:16.7	medium
		0.19:3.12:14.2	medium
9.9	0.3	0.3:3.2:2.25	medium
9.9	0.29	0.3:3.19:nan	low
8.9	0.31	0.18:3.06:12.2	medium
8.9	0.31	0.18:3.06:12.2	medium
8.8		0.51:3.01:nan	low
10.0	0.27	0.24:3.64:1.9	high
12.0	0.28	0.62:3.44:3.5	medium
10.0	0.27	0.24:3.64:1.9	high
10.0	0.12	0.27:3.21:1.3	medium
	0.35	0.34:nan:1.8	medium
11.0	0.36	0.26:3.16:5.2	medium
11.2	0.33	nan:3.21:1.4	medium
10.3	0.32	0.28:3.17:9.0	high
10.4	0.26	0.31:3.37:nan	medium
	0.37	0.18:3.08:1.6	low
10.4	0.42	0.15:3.0:1.7	medium
10.8	0.28	nan:nan:1.9	medium
11.7	0.34	nan:3.19:12.6	low
9.8	0.26	0.19:3.05:nan	low
9.8	0.26	0.19:3.05:2.1	low
11.4	0.4	0.25:3.03:1.3	medium
	0.32	0.36:nan:1.7	medium
	0.37	0.35:nan:1.0	low
	0.39	0.32:3.09:3.3	medium
12.5	0.46	0.31:3.04:5.0	low
		0.28:3.36:1.8	medium
12.2	0.02	0.36:nan:1.6	medium
11.2	0.47	nan:nan:4.5	medium
9.7	0.35	0.1:3.43:4.9	medium
9.3		0.18:3.06:4.0	low
9.0	0.36	0.25:3.01:13.2	medium
9.0	0.36	0.25:3.01:nan	medium
	0.36	0.25:3.01:13.2	medium
9.1	0.51	0.345:3.09:15.3	low
	0.51	0.345:3.09:15.3	low
9.0	0.36	0.25:3.01:13.2	medium
10.4	0.3	nan:3.31:1.5	low
		0.25:3.37:4.55	medium
11.4	0.31	0.31:3.46:9.9	low
	0.65	0.46:3.16:10.4	low
9.9	0.35	0.35:3.34:1.1	medium
9.9	0.41	0.24:3.22:8.7	medium
9.0	0.17	0.28:3.21:13.9	medium
10.0		0.16:nan:1.4	medium
9.7	0.24	0.26:3.49:nan	medium
	0.42	nan:3.3:1.9	medium
10.2		nan:3.49:1.7	high
8.7	0.65	0.46:3.16:10.4	low
9.6	0.51	nan:3.07:13.6	high
		0.25:2.93:1.2	high
12.1	0.34	0.28:nan:1.6	high
9.6	0.51	0.3:3.07:13.6	high
	0.34	0.28:nan:1.6	high
11.3	0.34	nan:2.93:1.2	high
	0.71	nan:nan:12.2	low
10.4	0.24	0.41:3.32:1.6	medium
9.5	0.24	0.21:3.25:12.1	low
12.3	0.44	nan:3.01:4.2	medium
9.9	0.42	0.21:3.12:9.1	high
10.1	0.1	0.37:nan:1.6	low
9.2	0.27	0.34:nan:8.8	medium
10.4		0.3:3.08:1.4	high
9.1	0.3	0.51:nan:4.2	low
	0.38	nan:3.12:10.3	medium
11.5		0.35:3.13:12.4	medium
9.8	0.5	0.26:3.08:nan	low
9.8		0.26:3.08:2.2	medium
9.4		nan:nan:5.2	medium
8.7	0.66	nan:3.05:10.8	low
11.6		0.28:3.32:2.7	high
8.8	0.54	0.34:nan:16.3	low
12.7	0.34	0.2:3.16:2.7	high
	0.33	0.2:nan:nan	high
10.2	0.3	0.22:3.13:1.8	medium
10.2	0.29	0.23:3.13:1.8	medium
12.7	0.33	0.22:3.15:nan	high
11.6	0.29	0.28:3.32:2.7	high
12.3		0.38:3.38:6.0	high
8.7	0.66	0.41:nan:10.8	low
9.4	0.22	nan:nan:4.2	low
10.1	0.22	0.3:3.13:6.4	medium
		nan:nan:10.7	medium
	0.3	0.25:3.42:nan	high
9.7	0.22	0.24:2.86:10.7	medium
8.9		nan:3.13:nan	medium
10.8	0.25	0.32:3.47:1.7	high
10.8	0.27	0.28:3.42:2.1	high
9.5	0.33	nan:3.19:5.8	medium
9.1	0.5	0.31:2.94:14.5	low
	0.37	0.2:3.32:1.2	medium
9.4	0.33	0.41:nan:10.1	low
10.8	0.07	0.45:nan:nan	low
10.8	0.06	nan:2.97:nan	low
10.5	0.38	0.27:3.45:0.9	high
9.4	0.33	0.41:3.2:10.1	low
10.8	0.37	0.29:3.17:4.9	medium
	0.29	0.27:nan:nan	high
11.5	0.4	0.19:3.08:1.4	high
	0.35	0.3:3.11:1.4	medium
10.8	0.4	nan:2.88:1.4	medium
10.8	0.07	0.45:nan:1.1	low
	0.06	nan:2.97:nan	low
9.8	0.49	0.26:2.99:nan	medium
9.8	0.49	0.26:2.99:1.5	medium
9.6		nan:nan:7.5	low
9.6		0.25:nan:7.5	low
9.5	0.25	0.28:3.34:nan	low
	0.35	0.37:3.48:nan	medium
	0.28	0.36:3.25:3.2	high
		0.24:3.09:4.3	medium
8.8	0.68	nan:nan:nan	low
8.7	0.68	0.21:3.0:10.9	low
8.7	0.68	0.21:nan:10.9	low
	0.68	0.23:2.99:11.0	low
11.7	0.33	0.32:3.21:nan	high
10.9	0.27	0.26:3.23:nan	medium
10.8	0.27	0.24:3.23:1.8	medium
9.6	0.3	0.19:3.12:1.4	medium
		0.46:3.18:16.8	low
9.0	0.43	0.26:2.85:8.9	low
10.4		0.32:3.36:6.6	medium
11.4		0.24:3.23:1.1	low
9.3	0.06	nan:3.26:nan	low
11.0	0.29	0.24:3.33:nan	high
9.1	0.12	nan:3.32:10.4	low
9.4	0.24	0.32:3.23:6.2	medium
9.4	0.24	0.32:nan:6.2	medium
10.5		0.31:3.18:1.2	medium
8.8	0.42	0.23:3.22:18.05	low
8.8	0.42	0.23:3.22:18.05	low
	0.33	0.24:3.26:4.8	medium
	0.2	nan:3.33:12.6	low
10.9	0.28	0.17:3.43:4.5	medium
10.8	0.25	0.14:3.49:4.5	medium
	0.28	0.17:nan:4.7	high
9.2	0.25	nan:3.1:11.9	low
10.3		0.35:3.3:5.0	low
10.3	0.14	0.335:3.3:5.8	low
	0.29	nan:3.34:1.2	high
9.0	0.25	0.28:nan:12.9	low
10.4	0.33	0.21:3.36:13.9	medium
9.5		nan:3.31:11.5	low
9.5	0.29	0.24:nan:11.4	low
9.0	0.25	0.26:3.24:7.8	low
	0.72	0.33:3.09:nan	low
9.0	0.34	0.105:nan:12.2	medium
10.0		0.32:3.16:5.9	low
9.1		0.26:3.07:14.4	high
9.1	0.34	0.26:nan:14.4	high
9.1	0.34	0.26:3.07:14.4	high
9.1	0.34	nan:3.07:14.4	high
9.5	0.26	0.24:nan:nan	medium
11.4	0.37	0.21:3.33:2.5	high
12.2		0.27:3.11:5.3	medium
11.3	0.35	0.27:nan:4.9	medium
10.2	0.21	0.34:nan:3.2	low
		nan:3.24:3.1	low
10.0		0.29:3.15:1.4	low
9.4	0.26	nan:3.15:1.9	low
	0.34	0.25:3.37:14.0	high
9.2	0.1	0.57:3.4:8.3	low
9.4	0.26	0.28:3.15:1.9	low
	0.38	nan:3.35:7.4	medium
9.5	0.22	0.28:3.28:1.4	low
	0.37	0.22:3.35:1.7	medium
9.6	0.38	0.17:3.35:7.4	medium
10.0	0.25	0.14:3.35:1.3	medium
	0.5	0.24:3.18:11.6	low
9.3	0.26	0.42:3.14:9.2	medium
11.6	0.36	0.28:nan:1.7	medium
12.5		0.32:3.38:14.5	high
10.6		0.31:3.36:2.1	medium
9.4	0.5	0.32:3.08:10.7	low
9.1	0.25	0.28:3.19:6.9	medium
9.0	0.25	0.29:3.23:12.0	medium
11.8		0.32:3.42:4.75	high
11.8	0.38	nan:3.42:nan	high
11.8	0.38	nan:3.42:4.75	high
10.0	0.14	0.28:3.17:1.4	low
		0.34:3.06:1.3	low
	0.25	nan:nan:11.3	medium
9.4	0.32	0.27:nan:4.5	low
	0.31	0.46:3.03:nan	low
	0.26	0.36:3.25:13.2	low
10.7	0.35	nan:3.3:5.5	high
9.0	0.3	0.67:3.08:nan	low
9.1		0.28:3.14:nan	medium
	0.37	0.17:nan:nan	high
10.1	0.34	nan:nan:1.9	low
9.9	0.16	nan:3.17:6.4	medium
9.8	0.16	0.36:3.17:6.3	low
9.8	0.14	0.37:3.17:nan	low
		0.29:3.16:17.5	medium
		0.34:3.23:14.7	low
11.1	0.34	0.19:3.23:1.0	medium
9.5		nan:nan:14.8	low
9.5	0.51	0.31:3.06:14.8	low
9.4	0.48	0.31:3.06:14.2	low
9.7	0.7	0.4:3.06:nan	low
13.9		0.34:3.41:2.4	high
10.1	0.18	0.38:3.22:nan	low
10.5	0.28	nan:3.12:1.1	medium
12.6		0.25:3.42:3.6	medium
10.9	0.46	0.27:2.89:6.1	low
10.0	0.21	0.31:3.15:nan	low
	0.45	nan:3.13:4.4	medium
10.0	0.44	0.2:3.11:13.9	medium
9.2	0.21	0.47:nan:1.0	low
	0.24	0.25:3.35:12.1	low
12.3	0.43	0.27:3.1:1.6	medium
12.3	0.43	0.27:3.1:1.6	medium
10.0		0.31:nan:7.5	low
10.8	0.26	0.39:3.41:nan	medium
10.5		0.21:3.49:1.7	high
9.2	0.31	0.42:3.06:9.2	medium
	0.41	0.27:2.96:18.75	low
10.5	0.27	nan:nan:1.7	high
10.2		0.29:3.45:nan	high
8.9	0.44	0.29:3.02:9.0	low
10.4	0.44	0.3:3.5:1.5	low
11.7		0.31:3.37:1.6	medium
	0.31	0.33:3.26:1.3	high
10.9	0.4	0.3:nan:1.8	high
10.2	0.21	nan:nan:nan	low
11.7	0.31	0.24:3.37:nan	high
9.4	0.34	nan:2.99:8.0	low
10.5		0.16:3.35:5.3	low
		0.33:3.12:0.8	low
	0.33	0.23:3.35:13.8	medium
9.5	0.48	nan:3.25:nan	medium
11.1	0.45	0.28:3.01:6.0	high
	0.3	0.25:nan:nan	medium
		0.38:3.28:9.8	low
9.6	0.3	0.25:3.14:5.5	medium
9.1	0.3	0.25:nan:14.4	medium
9.2		0.38:3.28:9.8	low
10.8		nan:3.17:3.8	high
9.6	0.3	nan:nan:5.5	medium
12.6	0.4	0.39:3.31:nan	low
11.0	0.3	0.2:3.44:nan	medium
10.2	0.37	nan:nan:2.0	medium
9.4	0.25	0.26:3.33:12.5	low
10.0	0.27	0.38:3.17:7.5	low
12.2	1.66	0.2:3.26:2.1	medium
10.5		0.21:3.22:8.5	medium
	0.4	0.29:3.04:7.6	medium
9.8		nan:3.3:8.1	medium
11.4	0.42	0.3:3.04:7.35	medium
11.5	0.4	0.29:3.04:7.6	medium
	0.5	0.2:3.15:10.0	medium
